cid,old_cid,rid,old_rid,sch,ismain
5,',1,',1,'
8,',2,',1,'
9,',3,',1,'
12,',4,',1,'
13,',5,',1,'
16,',6,',1,'
1,',7,',1,'
1,',8,',1,'
19,',9,',1,'
19,',10,',1,'
22,',11,',1,'
22,',12,',1,'
43,',13,',1,'
3182,',13,',1,'
4196,',13,',1,'
81,',14,',1,'
3177,',14,',1,'
4140,',14,',1,'
4200,',14,',1,'
84,',15,',1,'
3177,',15,',1,'
4140,',15,',1,'
4200,',15,',1,'
59,',16,',1,'
3177,',16,',1,'
4140,',16,',1,'
4200,',16,',1,'
61,',17,',1,'
3177,',17,',1,'
4140,',17,',1,'
4200,',17,',1,'
65,',18,',1,'
752,',18,',1,'
3182,',18,',1,'
71,',19,',1,'
3180,',19,',1,'
4130,',19,',1,'
79,',20,',1,'
81,',21,',1,'
82,',22,',1,'
84,',23,',1,'
90,',24,',1,'
3177,',24,',1,'
4140,',24,',1,'
4200,',24,',1,'
93,',25,1987,1,'
3177,',25,1987,1,'
4140,',25,1987,1,'
4200,',25,1987,1,'
86,',26,',1,'
88,',27,',1,'
89,',28,',1,'
88,',29,',1,'
90,',30,',1,'
91,',31,',1,'
92,',32,',1,'
91,',33,',1,'
93,',34,',1,'
90,',35,',1,'
3177,',35,',1,'
4140,',35,',1,'
4200,',35,',1,'
93,',36,',1,'
3177,',36,',1,'
4140,',36,',1,'
4200,',36,',1,'
94,',37,',1,'
3182,',37,',1,'
94,',38,',1,'
4138,',38,',1,'
4326,',38,',1,'
632,',39,',1,'
3811,',39,',1,'
112,',40,',1,'
3182,',40,',1,'
114,',41,',1,'
4121,',41,',1,'
115,',42,',1,'
3174,',42,',1,'
4112,',43,',1,'
127,',44,',1,'
139,',45,',1,'
2331,',45,',1,'
4123,',45,',1,'
138,',46,',1,'
632,',46,',1,'
143,',47,',1,'
3173,',47,',1,'
4127,',47,',1,'
147,',48,',1,'
150,',49,',1,'
661,',49,',1,'
152,',50,',1,'
149,',51,',1,'
3182,',51,',1,'
4121,',51,',1,'
149,',52,',1,'
3182,',52,',1,'
4131,',52,',1,'
143,',53,',1,'
3182,',53,',1,'
4121,',53,',1,'
143,',54,',1,'
3182,',54,',1,'
4131,',54,',1,'
156,',55,',1,'
3177,',55,',1,'
4128,',55,',1,'
154,',56,743,1,'
4196,',56,743,1,'
157,',57,',1,'
162,',58,',1,'
130,',59,',1,'
3049,',59,',1,'
164,',60,',1,'
186,',61,',1,'
3177,',61,',1,'
4128,',61,',1,'
4200,',61,',1,'
186,',62,',1,'
3177,',62,',1,'
4140,',62,',1,'
4200,',62,',1,'
187,',63,',1,'
3173,',63,',1,'
4138,',63,',1,'
190,',64,',1,'
4196,',64,',1,'
766,',65,',1,'
3186,',65,',1,'
211,',66,',1,'
3186,',66,',1,'
