rid,Metabolite abbreviation,EHMN ID
1,10fthf[c],C00234
2,10fthf[e],C00234
3,10fthf[l],C00234
4,10fthf[m],C00234
5,10fthf5glu[c],[]
6,10fthf5glu[e],[]
7,10fthf5glu[l],[]
8,10fthf5glu[m],[]
9,10fthf6glu[c],[]
10,10fthf6glu[e],[]
11,10fthf6glu[l],[]
12,10fthf6glu[m],[]
13,10fthf7glu[c],[]
14,10fthf7glu[e],[]
15,10fthf7glu[l],[]
16,10fthf7glu[m],[]
17,11_cis_retfa[c],[]
18,11_cis_retfa[e],[]
19,11docrtsl[c],C05488
20,11docrtsl[m],C05488
21,11docrtsl[r],C05488
22,11docrtstrn[c],C03205
23,11docrtstrn[m],C03205
24,11docrtstrn[r],C03205
25,12dgr120[e],C00641
26,12dgr120[g],C00641
27,12dgr120[m],C00641
28,12dgr120[n],C00641
29,12dgr120[r],C00641
30,12harachd[r],[]
31,12HPET[c],C05965
32,12ppd_R[c],C00583
33,12ppd_S[c],C02917
34,12RHPET[c],C14812
35,13_cis_oretn[c],[]
36,13_cis_oretn[n],[]
37,13_cis_retn[c],CE2952
38,13_cis_retn[n],CE2952
39,13_cis_retn[r],CE2952
40,13_cis_retnglc[c],C11061
41,13_cis_retnglc[e],C11061
42,13_cis_retnglc[r],C11061
43,13dampp[c],C00986
44,13dpg[c],C00236
45,15HPET[c],C05966
46,15HPET[n],C05966
47,15HPET[r],C05966
48,17ahprgnlone[c],C05138
49,17ahprgnlone[g],C05138
50,17ahprgnlone[l],C05138
51,17ahprgnlone[m],C05138
52,17ahprgnlone[r],C05138
53,17ahprgstrn[c],C01176
54,17ahprgstrn[m],C01176
55,17ahprgstrn[r],C01176
56,18harachd[r],[]
57,1a2425thvitd2[m],[]
58,1a2425thvitd3[m],C18231
59,1a25dhvitd2[m],[]
60,1a25dhvitd3[c],C01673
61,1a25dhvitd3[m],C01673
62,1a25dhvitd3[n],C01673
63,1ddecg3p[c],C00681
64,1glyc_hs[e],[]
65,1mncam[c],C02918
66,1mncam[e],C02918
67,1mpyr[c],C06178
68,1p2cbxl[x],C03564
69,1p3h5c[c],C04281
70,1p3h5c[m],C04281
71,1pipdn2c[x],C04092
72,1pyr5c[c],C03912
73,1pyr5c[m],C03912
74,20ahchsterol[m],C05500
75,23cump[c],C02355
76,23cump[e],C02355
77,23doguln[c],C04575
78,23dpg[c],C01159
79,2425dhvitd2[c],[]
